,Continent,Country Code,Country,Alcohol Consumption Per Capita (Liters),Climate,Main Industry,Region,Happiness Score,Life Expectancy,GDP per capita,Mental Health Disorders (%),Wine Consumption per capita (Liters)
35,South America,ECU,Ecuador,4.4,"tropical along coast, becoming cooler inland at higher elevations; tropical in Amazonian jungle lowlands",petroleum,Latin America and Caribbean,5.925199986,68.50003815,9.246058463999999,12.58819105,0.06
36,North America,SLV,El Salvador,3.7,tropical; rainy season (May to October); dry season (November to April); tropical on coast; temperate in uplands,food processing,Latin America and Caribbean,6.34829998,66.10826111,8.909075737,11.02097074,0.04
37,Africa,ETH,Ethiopia,2.8,tropical monsoon with wide topographic-induced variation,food processing,Sub-Saharan Africa,4.186200142,58.63959122,7.509385586,13.50487229,0.0
38,Europe,EST,Estonia,11.6,"maritime; wet, moderate winters, cool summers",engineering,Central and Eastern Europe,6.0218000410000005,68.60495758,10.34001732,12.61689377,1.65
39,Europe,FIN,Finland,10.7,"cold temperate; potentially subarctic but comparatively mild because of moderating influence of the North Atlantic Current, Baltic Sea, and more than 60,000 lakes",metals and metal products,Western Europe,7.808700085,71.9008255,10.63926697,15.54736732,1.67
40,Europe,FRA,France,12.6,"metropolitan France: generally cool winters and mild summers, but mild winters and hot summers along the Mediterranean; occasional strong, cold, dry, north-to-northwesterly wind known as the mistral;",machinery,Western Europe,6.663799762999999,73.80193329,10.58422279,16.64020116,6.4
41,Africa,GAB,Gabon,11.5,"tropical; always hot, humid",petroleum extraction and refining,Sub-Saharan Africa,4.829299927,59.71533966,9.680537224,12.31939501,0.96
42,Europe,GEO,Georgia,9.8,warm and pleasant; Mediterranean-like on Black Sea coast,steel,Commonwealth of Independent States,4.672599792,64.49520874,9.226100922,10.75221672,2.5
43,Africa,GMB,Gambia,3.8,,,Sub-Saharan Africa,4.750599861,55.01201629999999,7.321814537000001,12.24553751,0.02
44,Europe,DEU,Germany,13.4,"temperate and marine; cool, cloudy, wet winters and summers; occasional warm mountain (foehn) wind",among the world's largest and most technologically advanced producers of iron,Western Europe,7.075799942000001,72.20201874,10.7328186,15.15150597,3.1
45,Africa,GHA,Ghana,2.7,tropical; warm and comparatively dry along southeast coast; hot and humid in southwest; hot and dry in north,mining,Sub-Saharan Africa,5.1479997630000005,57.20398712,8.350645065,11.56856919,0.21
46,Europe,GRC,Greece,10.4,"temperate; mild, wet winters; hot, dry summers",tourism,Western Europe,5.514999866,72.40525818,10.13232613,15.32749818,3.92
47,North America,GTM,Guatemala,2.4,"tropical; hot, humid in lowlands; cooler in highlands",sugar,Latin America and Caribbean,6.398900032,64.8089447,8.924805641,11.08807518,0.04
