,Continent,Country Code,Country,Alcohol Consumption Per Capita (Liters),Climate,Region,Happiness Score,Life Expectancy,GDP per capita,Mental Health Disorders (%),Wine Consumption per capita (Liters),GDP Group
35,South America,CHL,Chile,9.3,temperate; desert in north; Mediterranean in central region; cool and damp in south,Latin America and Caribbean,6.228499889,69.90061951,10.0320549,16.19709277,2.65,GDP up to 11
36,Asia,CHN,China,7.2,extremely diverse; tropical in south to subarctic in north,East Asia,5.123899937,69.2891922,9.688568115,11.49770565,0.17,GDP up to 10
37,South America,COL,Colombia,5.8,tropical along coast and eastern plains; cooler in highlands,Latin America and Caribbean,6.163400172999999,67.69958496,9.500369072,10.06709708,0.05,GDP up to 10
38,Africa,COM,Comoros,0.9,tropical marine; rainy season (November to May),Sub-Saharan Africa,4.288599968,57.34901047,7.833630085,12.23160528,0.05,GDP up to 8
41,North America,CRI,Costa Rica,4.8,tropical and subtropical; dry season (December to April); rainy season (May to November); cooler in highlands,Latin America and Caribbean,7.121399879,71.29985046,9.658156395,10.79582339,0.27,GDP up to 10
42,Europe,HRV,Croatia,8.9,"Mediterranean and continental; continental climate predominant with hot summers and cold winters; mild winters, dry summers along coast",Central and Eastern Europe,5.504700184,70.21490479,10.07087517,11.77945199,6.25,GDP up to 11
44,Europe,CYP,Cyprus,10.8,"temperate; Mediterranean with hot, dry summers and cool winters",Western Europe,6.15899992,73.70222473,10.40570259,14.2775815,2.48,GDP up to 11
46,Africa,BEN,Benin,3.0,"tropical; hot, humid in south; semiarid in north",Sub-Saharan Africa,5.21600008,54.31246567,7.674319744,11.78810722,0.22,GDP up to 8
47,Europe,DNK,Denmark,10.4,"temperate; humid and overcast; mild, windy winters and cool summers",Western Europe,7.645599842,72.40250397,10.77400112,14.89574698,4.35,GDP up to 11
49,North America,DOM,Dominican Republic,6.9,tropical maritime; little seasonal temperature variation; seasonal variation in rainfall,Latin America and Caribbean,5.689199924,65.80748749,9.664880753,13.38515549,0.22,GDP up to 10
50,South America,ECU,Ecuador,4.4,"tropical along coast, becoming cooler inland at higher elevations; tropical in Amazonian jungle lowlands",Latin America and Caribbean,5.925199986,68.50003815,9.246058463999999,12.58819105,0.06,GDP up to 10
51,North America,SLV,El Salvador,3.7,tropical; rainy season (May to October); dry season (November to April); tropical on coast; temperate in uplands,Latin America and Caribbean,6.34829998,66.10826111,8.909075737,11.02097074,0.04,GDP up to 9
53,Africa,ETH,Ethiopia,2.8,tropical monsoon with wide topographic-induced variation,Sub-Saharan Africa,4.186200142,58.63959122,7.509385586,13.50487229,0.0,GDP up to 8
55,Europe,EST,Estonia,11.6,"maritime; wet, moderate winters, cool summers",Central and Eastern Europe,6.0218000410000005,68.60495758,10.34001732,12.61689377,1.65,GDP up to 11
57,Europe,FIN,Finland,10.7,"cold temperate; potentially subarctic but comparatively mild because of moderating influence of the North Atlantic Current, Baltic Sea, and more than 60,000 lakes",Western Europe,7.808700085,71.9008255,10.63926697,15.54736732,1.67,GDP up to 11
58,Europe,FRA,France,12.6,"metropolitan France: generally cool winters and mild summers, but mild winters and hot summers along the Mediterranean; occasional strong, cold, dry, north-to-northwesterly wind known as the mistral;",Western Europe,6.663799762999999,73.80193329,10.58422279,16.64020116,6.4,GDP up to 11
60,Africa,GAB,Gabon,11.5,"tropical; always hot, humid",Sub-Saharan Africa,4.829299927,59.71533966,9.680537224,12.31939501,0.96,GDP up to 10
61,Europe,GEO,Georgia,9.8,warm and pleasant; Mediterranean-like on Black Sea coast,Commonwealth of Independent States,4.672599792,64.49520874,9.226100922,10.75221672,2.5,GDP up to 10
